year,current_round,team1,team2,seed1,seed2,team1_won,kadj_em_diff,kadj_o_diff,kadj_d_diff,barthag_diff,elite_sos_diff,talent_diff,exp_diff,o_rate_diff,d_rate_diff,relative_rating_diff,injury_rank_diff,roster_rank_diff,net_rpi_diff,resume_diff,wab_rank_diff,elo_diff,b_power_diff
2011,64,Kansas St.,Utah St.,5,12,1,-2.7604000000000006,-0.8889999999999958,1.8710000000000093,-0.006000000000000005,14.988000000000001,21.733999999999998,-1.086,2.1017479659999996,-0.1563012110000006,1.9454467500000003,,,8,-69,9,23,13.0
2011,64,Wisconsin,Belmont,4,13,1,6.629999999999999,9.709999999999994,3.0799999999999983,0.061999999999999944,24.374000000000002,54.196,0.3939999999999999,8.647511402,-2.0040739170000004,6.64343749,,,-35,-94,-28,1,-15.0
2011,64,St. John's,Gonzaga,6,11,0,0.31759999999999877,-0.11400000000000432,-0.4314999999999998,0.010000000000000009,12.886999999999997,1.8810000000000002,1.1840000000000002,-0.4182058150000003,0.6254475230000001,0.2072417099999999,,,-30,-37,-26,-2,-3.0
2011,64,BYU,Wofford,3,14,1,15.895539999999999,5.819000000000003,-10.07719999999999,0.2230000000000001,8.710999999999999,14.525999999999998,-0.6959999999999997,6.018931531,7.261111883000001,13.280043419999998,,,-104,-88,-98,-62,-75.0
2011,64,UCLA,Michigan St.,7,10,1,-1.053700000000001,-0.9419999999999931,0.1110000000000042,-0.015000000000000013,-13.45,-5.447999999999993,-0.742,-3.1539295209999993,-0.4251389140000015,-3.5790684399999986,,,-1,7,9,-23,5.0
2011,64,Florida,UC Santa Barbara,2,15,1,15.422889999999999,11.052000000000007,-4.371399999999994,0.31200000000000006,12.805,70.952,-0.42500000000000004,13.959758206,5.162446560999999,19.122204767,,,-149,-125,-131,-120,-100.0
2012,2,Kentucky,Kansas,1,2,1,4.809699999999999,4.5,-0.3097000000000065,0.016000000000000014,-3.350999999999999,23.012,-1.402,3.8619796399999977,1.6863794700000003,5.54835911,,,-4,1,-5,-5,-3.0
2012,4,Kentucky,Louisville,1,4,1,12.911999999999999,15.359000000000009,2.4466000000000037,0.07299999999999995,-1.6439999999999984,21.935000000000002,-0.9590000000000001,12.236264054,-2.432212979999999,9.80405107,,,-12,-5,-12,-15,-19.0
2012,4,Ohio St.,Kansas,2,2,0,2.983599999999999,1.6389999999999958,-1.3447000000000031,0.016000000000000014,0.7950000000000017,15.566000000000003,-0.9239999999999999,1.2963384099999988,2.6517438700000007,3.9480822700000004,,,1,-1,2,1,-2.0
2012,8,Kentucky,Baylor,1,3,1,10.308399999999999,4.909999999999997,-5.398200000000003,0.05999999999999994,-2.84,35.229,-0.792,5.378380159999999,6.749621826,12.12800198,,,-6,-10,-8,-11,-11.0
