TEAM,TEAM NO,SEED,KADJ EM,KADJ O,KADJ D,BARTHAG,ELITE SOS,TALENT,EXP,O RATE,D RATE,RELATIVE RATING,INJURY RANK,ROSTER RANK,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,R64,R32,S16,E8,F4,FINALS,KADJ EM_z,KADJ O_z,BARTHAG_z,ELITE SOS_z,TALENT_z,EXP_z,O RATE_z,RELATIVE RATING_z,RESUME_z,ELO_z,KADJ D_z,D RATE_z,NET RPI_z,WAB RANK_z,INJURY RANK_z,ROSTER RANK_z,model_score
Ohio St.,1176,8,22.2397,124.305,102.066,0.917,37.869,68.946,1.779,14.88048012,6.362613635,21.24309376,20.0,17.0,29,42,32,37,25.0,4,5,,,,,,,0.44456672688501475,0.7810237148132854,0.6433004812103038,0.9773161617579165,1.110156143354332,-0.31414287545205755,0.9676269945774143,0.5659157447936434,-0.4194061793361103,-0.3036697184232197,-0.054508756458312525,0.03788342731658455,0.5102263424382854,0.4377927192350392,0.6621729641605337,0.7193224392258496,2.994267274355264
Kentucky,1191,7,21.4832,120.516,99.0324,0.89,40.797,85.092,1.581,10.73359219,9.474924967,20.20851715,24.0,20.0,28,23,26,45,27.3,5,7,,,,,,,0.382261713369557,0.26506192326459194,0.5068833313486593,1.2149368200442128,1.6965275668624322,-0.8311480918176004,0.3301706785213305,0.46978583956156306,-0.6740456453616058,-0.1461899025774318,0.4342815586228058,-0.5394369913679979,0.5246287464589593,0.5406840956451175,0.6028478501118957,0.6816190020207947,2.9540538618518735
UCLA,1156,7,21.667,123.728,102.061,0.911,36.27,70.281,2.244,13.0991663,7.241824809,20.3409911,28.0,22.0,31,25,27,33,25.7,5,5,,,,,,,0.3973994020465447,0.7024515443926987,0.6129855590188272,0.8475499620995192,1.1586391020055966,0.9000360417700518,0.6938048502116779,0.4820949408268811,-0.6472414910431326,-0.38240962634611364,-0.05370312896114633,-0.1252064788463903,0.48142153439693763,0.5235355329101045,0.5435227360632576,0.6564833772174249,2.799873213362089
Texas Tech,1159,5,25.2243,125.05,99.8259,0.944,40.139,41.675,1.601,11.54237863,6.787035957,18.32941459,33.0,35.0,19,18,19,30,18.3,7,5,,,,,,,0.6903770948139448,0.8824730509715781,0.7797176310719478,1.161537095606924,0.11976006441902935,-0.7789253426897678,0.4544966871382345,0.2951849938937309,-0.7410560311577888,-0.4414645572882841,0.3064284748224133,-0.04084509515377691,0.6542503826450243,0.6607240347902089,0.46936634350246,0.4931018159955207,2.787095895886742
Wisconsin,1149,5,23.3936,125.348,101.954,0.929,38.176,38.623,1.871,15.74631291,6.449820723,22.19613363,25.0,28.0,25,11,20,18,22.3,8,5,,,,,,,0.5396014328935895,0.923052785434896,0.703930325593257,1.0022306228555578,0.008921120745876787,-0.07391822946402725,1.100722122767667,0.6544694889049603,-0.8348705712724451,-0.6776842810569659,-0.03646270052177194,0.021706886095025458,0.567835958520981,0.6435754720551959,0.5880165715997361,0.5810765028073153,2.346805659025548
Iowa,1195,9,22.4441,121.742,99.2974,0.907,35.51,14.299,1.776,12.13587274,7.970848431,20.10672117,23.0,26.0,27,44,38,54,27.3,4,5,,,,,,,0.4614010226716104,0.4320107637076369,0.5927756108911763,0.7858724688284855,-0.8744492809270469,-0.32197628782123217,0.5457281299328759,0.46032724769333344,-0.3926020250176371,0.030974890249079543,0.39158330127295865,-0.26043723752936876,0.5390311504796332,0.33490134282496087,0.6176791286240552,0.6062121276106851,2.2339237348807464
Texas,1161,11,19.0333,124.97,105.937,0.854,37.671,55.968,2.238,13.6152167,3.213718725,16.82893543,35.0,34.0,42,35,46,79,40.3,6,1,,,,,,,0.1804890066788495,0.8715791625250501,0.32499379819979984,0.9612475516688841,0.6388364149827156,0.8843692170317015,0.7731317074685289,0.15576475371112047,-0.5132207194507665,0.5230993147671666,-0.6782255647649457,0.6219899429930665,0.32299509016952477,0.19771284094485644,0.43970378647814096,0.5056696283972056,2.0400823855377883
North Carolina St.,1179,11,19.5967,124.052,104.456,0.877,32.779,63.205,2.189,12.29494731,4.191324277,16.48627159,38.0,24.0,36,32,43,61,36.3,5,6,,,,,,,0.22689038753094312,0.7465717926011398,0.44120099993379336,0.5642392660348126,0.9016612627424156,0.7564234816685117,0.5701809463779072,0.12392540788861955,-0.5534269509284764,0.16876972911414392,-0.4395987001041032,0.4406483012408165,0.40940951429356814,0.2491585291498956,0.3952099509416624,0.631347752414055,1.955462077083273
Miami FL,1186,7,20.6799,121.357,100.677,0.884,29.331,80.783,1.67,11.58787275,7.092908774,18.68078153,27.0,25.0,32,24,25,26,35.3,6,6,,,,,,,0.3161022720516887,0.3795839255587191,0.4765684091571827,0.2844182176157035,1.540038376728876,-0.5987568581987454,0.46149000709935867,0.32783300692380135,-0.6606435682023692,-0.520204465211178,0.16929456225465878,-0.09758319232260883,0.46701913037626375,0.5578326583801306,0.5583540145754171,0.61877994001237,1.8751586636295763
Clemson,1209,8,19.2364,116.522,97.2852,0.892,31.538,43.89,2.344,6.400401361,10.15557226,16.55597362,37.0,46.0,34,30,29,35,31.7,6,7,,,,,,,0.19721623502648922,-0.2788154574283298,0.5169883054124847,0.46352641189092775,0.2002018272748725,1.161149787409214,-0.3359239710686687,0.13040192154030888,-0.5802311052469495,-0.34303967238466665,0.7158000312328151,-0.6656941482697059,0.4382143223349159,0.4892384074400784,0.41004122945382193,0.3548558795769864,1.7492511032161913
BYU,1211,6,23.2459,125.46,102.214,0.887,38.234,48.949,1.463,9.924997579,6.661667488,16.58666507,39.0,19.0,22,21,22,38,24.7,7,8,,,,,,,0.5274369246368372,0.9383042292600349,0.49172587025292097,1.0069375894472945,0.38392863462824034,-1.1392623116718126,0.20587415770581324,0.13325368346051605,-0.700849799680079,-0.2839847414424962,-0.07835533037445291,-0.01758978124325811,0.6110431705830026,0.6092783465851698,0.38037867242950285,0.6941868144224796,1.740380309489961
Georgia,1204,8,20.4792,124.681,104.202,0.877,32.391,61.02,1.553,13.18903627,5.028545559,18.21758183,29.0,30.0,33,31,34,47,34.0,6,6,,,,,,,0.299572706668275,0.8322249905119667,0.44120099993379336,0.5327512826280215,0.8223090045753653,-0.9042599405965661,0.7076195905584881,0.2847938130795408,-0.566829028087713,-0.10681994861598484,-0.39867282324802256,0.28534734015564084,0.4526167263555898,0.4034955937650131,0.528691457551098,0.5559408780039454,1.5090508395328863
Saint Mary's,1170,7,23.0701,120.26,97.1899,0.91,22.727,36.989,1.349,9.94249487,10.73033286,20.67282773,22.0,45.0,24,58,31,12,25.0,1,8,,,,,,,0.5129581125072703,0.23020148023570156,0.6079330719869145,-0.2515267370710116,-0.05042056797035236,-1.4369319817004589,0.20856382736896767,0.5129282532042342,-0.2049729447883246,-0.7957941429413068,0.7311552913288182,-0.7723097772473414,0.5822383625416548,0.4549412819700523,0.6325104071362146,0.36742369197867136,1.49825207484023
North Carolina,1180,6,20.842,121.387,100.545,0.903,33.421,63.835,1.523,8.192609625,6.553984655,14.74659428,46.0,41.0,23,26,21,25,28.7,6,5,,,,,,,0.329452758093798,0.38366913372616734,0.5725656627635252,0.6163405169295535,0.9245408612070574,-0.9825940642883152,-0.060427141431724875,-0.03772044156152418,-0.633839413883896,-0.5398894421919015,0.19056312817986643,0.0023849229560009835,0.5966407665623288,0.6264269093201829,0.27655972284438624,0.4176949415854111,1.4779759326448623
Texas A&M,1160,10,18.6679,119.69,101.022,0.873,32.472,29.541,2.497,9.78126494,6.569664225,16.35092916,40.0,42.0,44,33,39,50,36.7,5,4,,,,,,,0.15039482037541477,0.15258252505418693,0.4209910518061423,0.5393248049371714,-0.32090826537455946,1.5606538182371337,0.18377969069812666,0.11134977565024953,-0.5400248737692398,-0.04776501767381439,0.11370626495014109,-0.0005235701064130326,0.294190282128177,0.31775278008994784,0.36554739391734337,0.4051271291837262,1.425239356536924
SMU,1167,11,18.0856,122.893,104.808,0.861,32.0,44.289,2.034,12.16739286,4.472081061,16.63947392,48.0,29.0,37,48,45,69,42.0,4,5,,,,,,,0.10243684368003986,0.5887465837320612,0.36036120742318917,0.5010198354320032,0.21469223963581222,0.35169717592780814,0.5505733777225469,0.13816053105096687,-0.33899371638069065,0.3262495449599318,-0.49631487590465534,0.38856912059430365,0.39500711027289426,0.2148614036798695,0.2468971658200672,0.5685086904056303,1.3111228813471374
Villanova,1151,8,19.9691,120.369,100.4,0.881,30.123,63.75,1.548,7.769744337,7.493082011,15.26282635,45.0,50.0,35,51,28,31,35.0,2,8,,,,,,,0.257561090813371,0.24504440324409554,0.4614109480614444,0.3486926579718331,0.9214539312554787,-0.917315627878524,-0.12542965734887787,0.010246368713512328,-0.29878748490298085,-0.4217795803075606,0.21392632559770663,-0.17181361341057377,0.42381191831424203,0.5063869701750915,0.2913910013565458,0.30458462997024666,1.305806484845689
Utah St.,1154,9,20.7574,122.132,101.374,0.895,23.033,26.458,2.185,12.23975101,5.328099011,17.56785002,31.0,40.0,26,41,30,14,31.0,4,9,,,,,,,0.3224851386048256,0.48511846988446206,0.5321457665082231,-0.2266934305697797,-0.4328730305594643,0.7459789318429452,0.5616962150198727,0.22442258806067272,-0.4328082564953469,-0.7564241889798599,0.05699008914959118,0.22978145812162207,0.5534335545003071,0.4720898447050653,0.499028900526779,0.430262753987096,1.0526650313143395
Missouri,1182,10,15.3923,119.491,104.099,0.851,34.025,66.401,2.282,10.06093542,4.369814498,14.43074992,49.0,36.0,59,29,41,62,47.3,5,4,,,,,,,-0.11938218196593849,0.12548397754344823,0.30983633710406155,0.665357893160743,1.017729828921772,0.9992592651129333,0.22677041456136757,-0.0670677978630425,-0.5936331824061861,0.18845470609486742,-0.38207689680638474,0.4075391299123152,0.07815422181806857,0.2834556546199217,0.23206588730790767,0.48053400359383575,1.0272096669756785
TCU,1164,9,17.5867,115.379,97.7924,0.836,33.811,50.351,1.807,6.873652262,9.204741989,16.07839425,41.0,43.0,39,20,33,36,46.3,6,7,,,,,,,0.061347654991524496,-0.434461888608102,0.2340490316253701,0.6479908095291627,0.43484482041780786,-0.24103102667309179,-0.2631762187748944,0.08602660980878173,-0.7142518768393157,-0.3233546954039432,0.6340771779202026,-0.48931920643541815,0.3662023022315465,0.4206441565000262,0.3507161154051838,0.3925593167820412,0.7931791936469683
Saint Louis,1171,9,18.321,119.475,101.154,0.858,15.895,21.913,1.939,10.22825178,7.411491714,17.6397435,30.0,48.0,30,63,42,34,39.7,2,6,,,,,,,0.12182428608789037,0.12330519985414186,0.3452037463274509,-0.8059749397390368,-0.5979329909115214,0.10363911757060384,0.2524901524134378,0.23110272499050766,-0.13796255899214158,-0.3627246493653902,0.09243769902493573,-0.15667896285671348,0.4958239384176115,0.26630709188490864,0.5138601790389385,0.32972025477361655,0.18361961123263895
UCF,1157,10,15.0386,120.452,105.413,0.812,33.921,42.096,2.429,8.578056659,2.626738495,11.20479515,60.0,67.0,51,36,35,55,56.0,5,6,,,,,,,-0.14851276131877053,0.25634681250736835,0.11278934285946439,0.6569178151341806,0.13504944688508347,1.3830964712025027,-0.001176529774036743,-0.36681430607288557,-0.49981864229152995,0.05065986722980303,-0.5937958030618518,0.7308722609857874,0.19337345398345973,0.38634703103000007,0.06892182367415298,0.09093181914160275,0.10021469521546583
Santa Clara,1169,10,19.3981,123.644,104.246,0.895,24.151,20.016,1.435,12.84640972,3.980549866,16.82695959,36.0,58.0,40,59,36,24,37.3,2,6,,,,,,,0.21053377724122752,0.6910129615238456,0.5321457665082231,-0.13596259178423356,-0.6668260040661644,-1.2123741604507783,0.6549513096613948,0.15558116429868077,-0.19157086762908798,-0.559574419172625,-0.405762345223091,0.47974605150615407,0.35179989821087254,0.369198468294987,0.4248725079659814,0.2040421307567672,0.07796834534450968
South Florida,1166,11,16.3874,117.305,100.918,0.835,18.197,30.828,2.247,8.095163702,7.732350862,15.82751456,42.0,44.0,46,65,58,28,50.7,2,6,,,,,,,-0.037426175423662125,-0.17219152425793463,0.22899654459345734,-0.6191570588049335,-0.2741685142253631,0.9078694541392258,-0.07540645125123667,0.06271558519132629,-0.11115840467366836,-0.48083451124973103,0.13046331689121302,-0.2161969602233529,0.2653854740868292,-0.008069911875300232,0.3358848368930243,0.3799915043803563,-0.19945376275180965
